running on Julia 1.8.5 (8 Threads)
simulation_pattern: 10800
file_name: data/20230324_103925/7.csv
file_name: data/20230324_103925/25.csv
file_name: data/20230324_103925/1.csv
file_name: data/20230324_103925/19.csv
file_name: data/20230324_103925/37.csv
file_name: data/20230324_103925/13.csv
file_name: data/20230324_103925/43.csv
file_name: data/20230324_103925/31.csv
19:05:13 data/20230324_103925/32.csv 9.25925925925926%
19:06:06 data/20230324_103925/20.csv 5.555555555555555%
19:07:10 data/20230324_103925/2.csv 0.9259259259259258%
19:07:11 data/20230324_103925/26.csv 9.25925925925926%
19:10:07 data/20230324_103925/14.csv 8.333333333333332%
19:10:08 data/20230324_103925/44.csv 1.8518518518518516%
19:10:42 data/20230324_103925/8.csv 5.555555555555555%
19:11:04 data/20230324_103925/20.csv 6.481481481481481%
19:12:09 data/20230324_103925/38.csv 6.481481481481481%
19:12:11 data/20230324_103925/32.csv 10.185185185185185%
19:14:02 data/20230324_103925/26.csv 10.185185185185185%
19:14:08 data/20230324_103925/2.csv 1.8518518518518516%
19:14:41 data/20230324_103925/8.csv 6.481481481481481%
19:16:09 data/20230324_103925/44.csv 2.7777777777777777%
19:16:26 data/20230324_103925/32.csv 11.11111111111111%
19:18:05 data/20230324_103925/38.csv 7.4074074074074066%
19:18:09 data/20230324_103925/14.csv 9.25925925925926%
19:18:22 data/20230324_103925/26.csv 11.11111111111111%
19:19:24 data/20230324_103925/2.csv 2.7777777777777777%
19:19:30 data/20230324_103925/32.csv 12.037037037037036%
19:20:26 data/20230324_103925/8.csv 7.4074074074074066%
19:22:02 data/20230324_103925/44.csv 3.7037037037037033%
19:22:33 data/20230324_103925/26.csv 12.037037037037036%
19:22:56 data/20230324_103925/2.csv 3.7037037037037033%
19:24:29 data/20230324_103925/32.csv 12.962962962962962%
19:24:35 data/20230324_103925/20.csv 7.4074074074074066%
19:24:40 data/20230324_103925/14.csv 10.185185185185185%
19:26:27 data/20230324_103925/2.csv 4.62962962962963%
19:27:20 data/20230324_103925/8.csv 8.333333333333332%
19:28:11 data/20230324_103925/26.csv 12.962962962962962%
19:28:27 data/20230324_103925/44.csv 4.62962962962963%
19:28:39 data/20230324_103925/14.csv 11.11111111111111%
19:30:16 data/20230324_103925/38.csv 8.333333333333332%
19:30:56 data/20230324_103925/32.csv 13.88888888888889%
19:30:58 data/20230324_103925/2.csv 5.555555555555555%
